Start,Duration,Text
400.139,4.56,hobby interactions within your
402.0,5.66,relationships and interactions with
404.699,6.06,strangers so these are all social
407.66,6.039,interactions that may require you to
410.759,5.16,mask and to script and so when we begin
413.699,4.56,to think about what our masks may be
415.919,6.72,what they may look like it's important
418.259,6.961,to know which masks you use and rely on
422.639,5.101,in these different social situations
425.22,4.08,because how you mask with family may be
427.74,3.48,different with how you mask with friends
429.3,3.3,and how you mess with friends may be
431.22,3.419,different with how you mask with work
432.6,3.48,and how you mask within work may be
434.639,4.081,different with how you mask within
436.08,4.739,romantic relationships I've find a lot
438.72,4.379,of the times with autistic individuals
440.819,5.041,or neurodivergent people in general are
443.099,5.1,different masks are tailored towards
445.86,4.8,different group dynamics especially for
448.199,4.921,autistic individuals because we're
450.66,4.86,catering those masks to certain
453.12,3.9,individuals we're interacting with in
455.52,3.72,order to make the social interaction
457.02,4.619,more smooth and I want to take this time
459.24,4.26,to also emphasize that masking is not
461.639,3.84,just something neurodivergent people do
463.5,5.22,it's not something just autistic people
465.479,5.881,do everyone can mask even neurotypical
468.72,5.58,and holistic people so I don't want
471.36,5.88,people to think that just because you do
474.3,5.519,mask you cannot be neurotypical or
477.24,4.019,holistic and likewise I don't want you
479.819,3.421,guys to think that if you see a
481.259,4.56,neurotypical or holistic person masking
483.24,4.679,they now could be a neurodivergent
485.819,4.38,person you know that's kind of like the
487.919,5.101,complexity of all this is that these are
490.199,4.741,Behavior patterns and different ways to
493.02,4.079,process things and it's not something
494.94,4.379,that is just exclusive to
497.099,4.621,neurodivergence see and in that sense
499.319,4.981,it's important for you to keep educating
501.72,5.759,yourself on your divergency it's usually
504.3,5.239,a plethora of symptoms co-existing with
507.479,5.101,each other and so in that sense
509.539,5.201,neurotypical people can have attributes
512.58,4.379,of neurodivergency here and there but if
514.74,4.919,it's not all these symptoms coexisting
516.959,5.281,together that spans across their whole
519.659,4.5,life that is kind of what determines
522.24,3.719,whether or not you are a neurodivergent
524.159,4.141,person versus a neurotypical person
525.959,4.38,right because neurotypical people can
528.3,3.96,utilize masking in situations where
530.339,3.661,they're not necessarily feeling the most
532.26,4.5,natural or they have to be more
534.0,5.519,cognizant of their behaviors so for
536.76,5.519,example I would say most people would
539.519,5.281,mask to a certain capacity in work
542.279,5.341,situations because you have to have a
544.8,5.039,certain facade and professionalism at
547.62,5.64,work so now we could begin to dive in
549.839,4.68,deeper into the levels of masking I
553.26,4.139,break these down into different
554.519,6.0,categories authentic versus inauthentic
557.399,4.56,so how true to myself can I be sometimes
560.519,2.88,we may have the misconception that
561.959,4.56,masking means that we're not being
563.399,5.701,ourselves a lot of the times masks are
566.519,5.641,actually authentic to ourselves it's
569.1,5.88,just you're tailoring yourself to
572.16,5.16,respond a certain way look a certain way
574.98,4.26,but that could actually be an authentic
577.32,4.199,version of yourself so just because
579.24,4.56,you're masking it doesn't mean you're
581.519,4.201,faking to be another person it's just
583.8,3.0,the utilization of different types of
585.72,5.1,masks
586.8,6.599,the next thing is open versus judged so
590.82,5.4,can I be open and honest or do I feel
593.399,5.94,judged this will affect your levels of
596.22,5.64,masking because whether or not you feel
599.339,5.221,open with the other person or within the
601.86,5.64,situation can kind of determine the type
604.56,5.279,of masks that you are using and the
607.5,5.82,levels of masks that you are using in
609.839,5.401,that situation if you imagine you're in
613.32,4.44,an environment where you feel judged or
615.24,5.159,around a person that you feel judged by
617.76,5.82,your masks are going to feel a little
620.399,6.181,bit more inauthentic and the level of
623.58,5.819,masking may be higher because you are
626.58,5.58,tailoring yourself more to the other
629.399,6.0,person in order to not be judged the
632.16,5.22,next thing is new versus history so is
635.399,4.081,this person new or do we have history
637.38,4.5,this will also affect your level of
639.48,5.28,masking for many different reasons that
641.88,5.459,is special and unique to you everyone is
644.76,6.42,going to be different I personally find
647.339,5.94,that I tend to mask more when I meet new
651.18,5.64,people and I'm not necessarily used to
653.279,6.901,them but I actually do begin to mask in
656.82,5.579,a more uncomfortable way when I start to
660.18,4.56,get to know someone and build history
662.399,4.861,with them and I feel like the reason why
664.74,5.039,I do this is because when I establish
667.26,4.92,history with someone there's a lot of
669.779,4.921,complex social dynamics there that I
672.18,4.92,have to maintain with this person and I
674.7,4.56,know them a lot more and so I feel like
677.1,3.9,in a sense the masking with people I
679.26,4.259,have history with is actually more
681.0,4.62,uncomfortable to me because it's more
683.519,4.801,details within this mask that I have to
685.62,5.04,uphold that becomes tiring to me over
688.32,3.84,time just because you are comfortable
690.66,3.419,with someone or just because you've
692.16,3.72,known someone for a long time or been
694.079,3.061,somewhere for a long time that
695.88,3.78,automatically means you don't mask
697.14,4.8,anymore that's not necessarily the case
699.66,5.1,and the next thing is stable versus
701.94,5.579,sensitive so is this person stable or
704.76,5.4,sensitive this also affects the levels
707.519,5.401,at which you mask because if someone
710.16,4.859,tends to be a more sensitive person that
712.92,3.72,might make you need to mask more in
715.019,4.021,front of them and script more in front
716.64,5.879,of them because you have to kind of be
719.04,5.1,more cognizant of how they feel and how
722.519,4.141,you're affecting them you have to kind
724.14,5.04,of manage what you look like what you
726.66,4.859,say how you come across to them a little
729.18,4.86,bit more carefully I noticed that for
731.519,5.341,myself when someone is more sensitive I
734.04,4.56,have to mask and script a lot more and
736.86,4.5,when someone is generally more stable
738.6,4.44,and don't take things too personally I
741.36,3.719,could kind of feel more free to be
743.04,4.62,myself and say what I actually want to
745.079,5.521,say masking is not necessarily a bad
747.66,4.799,thing I do think like I always say in
750.6,3.6,all my videos it's all about balance
752.459,4.141,right when you have too much of
754.2,4.379,something it's not good usually a lot of
756.6,4.14,things in life are neutral things but
758.579,4.26,when it becomes unbalanced that's when
760.74,4.92,it becomes a negative masking for the
762.839,5.701,most part because it's utilized in so
765.66,5.1,many situations in which you don't
768.54,5.039,necessarily want to mask and it becomes
770.76,5.34,a draining thing it's seen as a negative
773.579,5.401,experience but masking could also be
776.1,5.58,very positive when you use it to express
778.98,5.88,authentic parts of yourself in order for
781.68,6.24,another person to understand who you
784.86,4.919,truly are more accurately if you utilize
787.92,4.02,masking to your advantage it could be
789.779,4.261,very very empowering I think what it
791.94,4.56,comes down to is whether or not it feels
794.04,4.859,like a choice to you are you choosing to
796.5,5.04,mask or do you feel forced into doing so
798.899,4.981,when it comes to figuring out your
801.54,4.26,comfort levels with masking I want you
803.88,5.1,guys to think about effort versus
805.8,5.039,success the effort you're putting into
808.98,4.039,your masking and how much you're
810.839,5.281,succeeding at that social situation
813.019,5.201,masking can affect your energy levels in
816.12,4.86,different ways it can make you feel
818.22,4.919,fulfilled and energized at its best it
820.98,4.919,could also burn you out when it's
823.139,5.76,becoming unbalanced and at its worst it
825.899,5.401,can even lead to meltdowns and so I want
828.899,5.761,to go into explaining the six different
831.3,7.44,scenarios in which I find people masking
834.66,6.96,the most and in which category does that
838.74,5.339,specific mask fit into the fulfilled and
841.62,4.92,energized category the burnout category
844.079,4.44,or the Meltdown category so the first
846.54,3.239,scenario is the best scenario this is
848.519,3.781,the type that will make you feel
849.779,4.261,fulfilled and energized right it's a
852.3,4.38,mask that feels natural to you because
854.04,5.34,it's authentic you're also in a scenario
856.68,5.82,in which you feel open and comfortable
859.38,6.24,so this requires minimal effort on your
862.5,5.459,part but the success is exponential this
865.62,4.74,is the best case scenario right because
867.959,5.041,you can mask have successful
870.36,4.86,interactions feel great about it feel
873.0,4.38,fulfilled and not feel drained
875.22,4.38,afterwards now we're going to begin to
877.38,4.199,ramp up the discomfort levels and these
879.6,4.08,are the types of masks and interactions
881.579,4.5,that may lead to burnouts this is a
883.68,5.099,scenario in which you feel nervous for
886.079,4.56,the interact action leading into it this
888.779,4.74,is usually when you have to be very
890.639,5.94,cognizant of your scripts and your masks
893.519,5.701,but once you're in the interaction the
896.579,5.101,nerves begin to dissipate and the
899.22,4.44,interaction is successful so this is
901.68,4.14,where you feel like somewhat of a
903.66,4.32,discomfort there it's not horrible yet
905.82,4.139,if you were to ramp up the discomfort a
907.98,3.84,little bit more it would be a situation
909.959,3.901,where you feel nervous before the
911.82,4.319,interaction and you may even feel
913.86,4.38,anxious and uncomfortable during the
916.139,4.26,interaction but you could at least feel
918.24,5.52,proud of the fact that the interaction
920.399,5.94,was successful the thing about these is
923.76,5.1,it's not horrible but if you have these
926.339,4.68,types of interactions too much it could
928.86,4.979,lead to burnout because you feel very
931.019,5.401,tired and drained afterwards even though
933.839,4.981,you do have successful relationships and
936.42,5.279,interactions so if we were to ramp up
938.82,6.18,the discomfort levels more these can
941.699,6.241,maybe lead to burnouts or meltdowns
945.0,6.0,so an interaction where you have nerves
947.94,5.339,leading into the interaction and you're
951.0,4.92,not even enjoying the interaction
953.279,5.401,ramping it up even more you're dreading
955.92,5.34,a social interaction but you have to do
958.68,4.74,it because it is necessary and
961.26,4.439,unavoidable as you can see the
963.42,4.5,discomfort level is ramping up because
965.699,4.561,you don't feel like you have a choice to
967.92,4.38,say no to these interactions there's a
970.26,4.379,level of forcing yourself right the
972.3,5.099,reasons why this is in the category of
974.639,6.361,leading to meltdowns is because you're
977.399,6.481,not only feeling exhausted by masking
981.0,5.04,Within These interactions but you're not
983.88,3.899,getting any sort of energy being fed
986.04,4.02,back into you there's no fulfillment
987.779,4.74,coming from it right the worst case
990.06,4.86,scenario is you're dreading an
992.519,4.62,interaction you're forced to go through
994.92,4.919,it it's not even a successful
997.139,5.161,interaction and it doesn't go well this
999.839,4.081,is a situation in which you didn't want
1002.3,3.719,to be in that interaction to begin with
1003.92,4.44,and once you're in it you find yourself
1006.019,4.081,misinterpreting the other person you
1008.36,4.44,find the other person misinterpreting
1010.1,4.859,you and maybe even accusing you and
1012.8,5.76,attacking you these are interactions
1014.959,5.88,that are very draining distressing and
1018.56,4.62,therefore can lead to meltdowns it's
1020.839,4.801,just not enjoyable all around it's not a
1023.18,4.739,successful interaction it honestly just
1025.64,4.14,like hurts you but other than that stick
1027.919,4.441,around and watch the video I made where
1029.78,6.5,I help you guys uncover your stems see
1032.36,3.92,you guys on next week's video bye guys
Start,Duration,Text
0.0,3.48,hi I'm Taylor with Mom on the Spectrum
1.86,3.6,and today I've got a fun little bingo
3.48,4.02,card for late diagnosed autistic adults
5.46,3.78,you can get your own copy through a link
7.5,3.66,in the description if you want to print
9.24,4.439,one out for yourself this is just for
11.16,4.62,fun it's not a diagnostic tool I'm not a
13.679,4.321,diagnostician I'm not a psychologist I'm
15.78,3.72,a late diagnosed autistic mom of two and
18.0,3.0,I'm here to share resources and
19.5,3.3,information to help other autistic
21.0,3.48,adults like me if that sounds helpful to
22.8,3.239,you please consider subscribing to the
24.48,3.24,channel and giving this video a thumbs
26.039,3.181,up and if you want to keep track of how
27.72,3.479,many you relate to as we go through the
29.22,4.019,bingo card I'd love to hear your score
31.199,4.02,in the comments whatever that means so
33.239,3.781,just to be clear even if you cross off
35.219,3.421,every single thing on this bingo card it
37.02,3.359,does not necessarily mean that you are
38.64,3.0,on the Spectrum I just have the
40.379,2.821,privilege of getting to work with the
41.64,3.72,autistic Community every day I teach
43.2,4.019,classes I hold webinars and I'm
45.36,3.66,constantly learning from others in the
47.219,3.421,community from my own experiences as
49.02,3.18,well and I've just compiled this fun
50.64,3.06,little bingo card so that we can connect
52.2,3.24,with each other about things that we
53.7,4.26,might have experienced together so first
55.44,4.32,up people pleasing Tendencies hello
57.96,3.779,absolutely I think that this can kind of
59.76,3.84,go hand in hand with masking somebody
61.739,3.42,told me before that they feel like an
63.6,3.9,antenna whenever they walk in the room
65.159,4.32,like they immediately pick up on other
67.5,3.54,people's emotions and the energy of the
69.479,4.14,room and I think because we're we're
71.04,4.079,used to generally speaking getting in
73.619,3.661,tune with other people and what they're
75.119,4.081,wanting from us hence the masking and
77.28,3.42,all of that I think that we've become
79.2,3.239,pretty good at people pleasing and
80.7,3.059,putting ourselves on the back burner
82.439,4.201,second one we're gonna go straight
83.759,4.68,across routines are sacred that's kind
86.64,3.479,of part of the autistic experience we
88.439,5.101,like our routines please don't mess with
90.119,5.221,them but if your Audi HD you have ADHD
93.54,4.02,too that's where things get interesting
95.34,3.779,because then routines are not so fun
97.56,4.019,third thing on the list trouble getting
99.119,4.201,into bed transitions can be especially
101.579,3.481,difficult for people on the Spectrum and
103.32,3.659,I've heard time and time again that so
105.06,3.96,many of us just get stuck like on the
106.979,4.561,couch before bed because that transition
109.02,4.86,going from the end of the day to the
111.54,4.8,night it's just really hard fourth
113.88,4.379,secret stems so stemming is any repeated
116.34,4.08,physical movement that we have that
118.259,3.601,helps us move energy that gets it's kind
120.42,3.9,of stuck in our body when our nervous
121.86,4.5,system gets dysregulated secret stems
124.32,4.079,can be things that we do discreetly so
126.36,4.679,that it doesn't like upset other people
128.399,4.681,so it could be picking at our skin our
131.039,3.84,hair our nails a lot of people tell me
133.08,3.72,they scrunch their toes in their shoe
134.879,3.481,because nobody can see that next one is
136.8,4.079,knowing more about others than yourself
138.36,4.56,this can be again kind of due to our
140.879,3.72,people-pleasing Tendencies we might know
142.92,4.679,what other people want and need before
144.599,4.981,we know what we want or need second row
147.599,3.481,listening to the same song over and over
149.58,3.42,I'm not going to say too much about that
151.08,3.299,other than if that's you let me know in
153.0,3.239,the comments which song it is for you
154.379,3.541,for me it's September by Earth Wind and
156.239,3.901,Fire second one on the second row
157.92,4.62,stomach issues unfortunately this is
160.14,4.8,very very common with people on the
162.54,5.76,Spectrum gastrointestinal issues dietary
164.94,5.1,allergies it's not fun but it's part of
168.3,4.019,many of our experiences kind of related
170.04,3.839,sticking to safe foods so if you're on
172.319,4.261,the Spectrum you probably have some
173.879,5.94,foods that have like safe textures that
176.58,5.159,always or almost always feel good to eat
179.819,4.2,to me it's french fries like sometimes I
181.739,4.5,have a hard time eating things with
184.019,4.201,different textures kind of maybe related
186.239,3.841,to our fit I have another video over
188.22,3.06,avoidant restrictive food intake
190.08,3.12,disorder if you're interested in
191.28,4.5,learning more about that but my safe
193.2,4.259,foods are french fries and this protein
195.78,3.66,bar that I've eaten like a million of
197.459,3.901,because it always tastes good to me next
199.44,3.659,one is triggered by light touch for
201.36,4.08,whatever reason so many of us on the
203.099,4.86,Spectrum get very easily upset if
205.44,5.28,someone lightly touches Us in any way I
207.959,4.681,need firm deep pressure or else last one
210.72,3.78,on the second row needing extra time to
212.64,3.54,process what someone just said delayed
214.5,3.9,processing is a very common experience
216.18,4.74,for people on the Spectrum someone told
218.4,5.1,me that their first response is usually
220.92,4.739,a script like a scripted response that
223.5,3.959,has become familiar and safe to them I
225.659,3.781,need space by myself to process
227.459,3.84,especially a bigger idea or something
229.44,3.78,important that someone just said outside
231.299,4.201,of a social situation where I can just
233.22,4.079,be by myself process the information and
235.5,3.78,then come back to the conversation third
